ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	9	1	1	0.000000	17.000000	14.000000	0.000000	0.000000	0	0	0
2	21	1	2	0.000000	19.523810	11.571429	0.000000	0.000000	0	0	0
3	25	1	2	0.000000	21.720000	14.320000	0.000000	0.000000	0	0	0
4	2	1	2	0.000000	20.500000	12.000000	0.000000	0.000000	0	0	0
5	16	1	2	0.000000	21.062500	11.000000	0.000000	0.000000	0	0	0
6	74	2	2	0.000000	16.770270	11.175676	0.000000	0.000000	0	0	0
7	41	1	2	0.000000	27.975610	19.536585	0.000000	0.000000	0	0	0
8	1	2	2	0.000000	25.000000	17.000000	0.000000	0.000000	0	0	0
9	37	1	1	0.000000	22.918919	14.135135	0.000000	0.000000	0	0	0
10	30	2	2	0.000000	14.866667	9.700000	0.000000	0.000000	0	0	0
11	24	1	2	0.000000	20.708333	12.666667	0.000000	0.000000	0	0	0
12	57	1	2	0.000000	21.543860	14.105263	0.000000	0.000000	0	0	0
13	19	2	2	0.000000	29.210526	18.684211	0.000000	0.000000	0	0	0
14	16	1	1	0.000000	27.687500	2.187500	0.000000	0.000000	0	0	0
15	7	1	2	0.000000	28.857143	3.857143	0.000000	0.000000	0	0	0
16	2	1	1	0.000000	24.500000	17.500000	0.000000	0.000000	0	0	0
17	3	2	1	0.000000	19.666667	17.666667	0.000000	0.000000	0	0	0
18	80	1	2	0.000000	12.812500	9.512500	0.000000	0.000000	0	0	0
19	4	1	1	0.000000	16.250000	11.250000	0.000000	0.000000	0	0	0
20	14	1	2	0.000000	15.071429	9.428571	0.000000	0.000000	0	0	0
21	4	2	1	0.000000	24.500000	1.750000	0.000000	0.000000	0	0	0
22	10	2	1	0.000000	24.400000	19.300000	0.000000	0.000000	0	0	0
23	29	2	1	0.000000	23.586207	6.103448	0.000000	0.000000	0	0	0
24	3	1	1	0.000000	23.333333	15.333333	0.000000	0.000000	0	0	0
25	17	2	2	0.000000	22.588235	10.352941	0.000000	0.000000	0	0	0
26	101	1	1	0.000000	22.435644	13.485149	0.000000	0.000000	0	0	0
27	13	1	2	0.000000	18.538462	10.076923	0.000000	0.000000	0	0	0
28	19	2	2	0.000000	25.842105	16.526316	0.000000	0.000000	0	0	0
29	9	1	1	0.000000	24.000000	15.000000	0.000000	0.000000	0	0	0
30	8	2	1	0.000000	22.625000	11.375000	0.000000	0.000000	0	0	0
31	49	1	2	0.000000	17.244898	13.142857	0.000000	0.000000	0	0	0
32	170	1	2	0.000000	19.452941	13.694118	0.000000	0.000000	0	0	0
33	36	1	2	0.000000	16.027778	9.555556	0.000000	0.000000	0	0	0
34	63	2	2	0.000000	19.111111	15.746032	0.000000	0.000000	0	0	0
35	41	1	2	0.000000	21.878049	17.146341	0.000000	0.000000	0	0	0
36	3	1	2	0.000000	26.333333	16.666667	0.000000	0.000000	0	0	0
37	81	1	2	0.000000	20.567901	13.518519	0.000000	0.000000	0	0	0
38	39	2	2	0.000000	19.974359	11.820513	0.000000	0.000000	0	0	0
39	1	1	1	0.000000	14.000000	12.000000	0.000000	0.000000	0	0	0
40	3	1	2	0.000000	14.000000	11.333333	0.000000	0.000000	0	0	0
41	15	1	2	0.000000	15.800000	13.000000	0.000000	0.000000	0	0	0
42	3	1	2	0.000000	15.333333	12.000000	0.000000	0.000000	0	0	0
43	1	1	2	0.000000	14.000000	11.000000	0.000000	0.000000	0	0	0
44	22	1	2	0.000000	18.409091	14.318182	0.000000	0.000000	0	0	0
45	11	2	1	0.000000	24.454545	14.000000	0.000000	0.000000	0	0	0
46	5	1	1	0.000000	26.800000	18.200000	0.000000	0.000000	0	0	0
47	131	2	2	0.000000	17.992366	11.946565	0.000000	0.000000	0	0	0
48	130	1	2	0.000000	15.469231	12.076923	0.000000	0.000000	0	0	0
49	41	1	2	0.000000	17.341463	8.731707	0.000000	0.000000	0	0	0
50	6	1	1	0.000000	22.166667	11.000000	0.000000	0.000000	0	0	0
51	93	1	2	0.000000	20.440860	13.043011	0.000000	0.000000	0	0	0
52	75	2	2	0.000000	21.093333	14.320000	0.000000	0.000000	0	0	0
53	24	1	2	0.000000	18.958333	9.041667	0.000000	0.000000	0	0	0
54	10	1	2	0.000000	19.700000	11.700000	0.000000	0.000000	0	0	0
55	20	1	1	0.000000	22.950000	13.000000	0.000000	0.000000	0	0	0
56	12	1	1	0.000000	29.166667	16.583333	0.000000	0.000000	0	0	0
57	11	1	2	0.000000	22.727273	15.363636	0.000000	0.000000	0	0	0
58	31	1	3	0.000000	19.000000	14.516129	0.000000	0.000000	0	0	0
59	31	1	1	0.000000	20.129032	12.354839	0.000000	0.000000	0	0	0
60	49	2	2	0.000000	16.632653	9.775510	0.000000	0.000000	0	0	0
61	132	1	2	0.000000	20.393939	13.015152	0.000000	0.000000	0	0	0
62	31	1	2	0.000000	18.677419	14.000000	0.000000	0.000000	0	0	0
63	55	2	2	0.000000	19.581818	12.509091	0.000000	0.000000	0	0	0
64	11	1	2	0.000000	25.000000	19.727273	0.000000	0.000000	0	0	0
65	57	2	2	0.000000	19.526316	7.894737	0.000000	0.000000	0	0	0
66	42	1	1	0.000000	19.333333	14.642857	0.000000	0.000000	0	0	0
67	126	2	2	0.000000	20.690476	13.087302	0.000000	0.000000	0	0	0
68	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
69	68	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
70	63	1	2	0.000000	12.047619	8.873016	0.000000	0.000000	0	0	0
71	65	1	0	0.000000	1.046154	1.046154	0.000000	0.000000	0	0	0
72	13	1	2	0.000000	12.230769	8.000000	0.000000	0.000000	0	0	0
73	102	2	2	0.000000	20.911765	9.254902	0.000000	0.000000	0	0	0
74	27	1	2	0.000000	13.814815	9.814815	0.000000	0.000000	0	0	0
75	96	1	2	0.000000	21.781250	16.437500	0.000000	0.000000	0	0	0
76	46	1	1	0.000000	19.608696	12.695652	0.000000	0.000000	0	0	0
77	15	1	2	0.000000	16.866667	11.266667	0.000000	0.000000	0	0	0
78	59	1	1	0.000000	1.084746	1.084746	0.000000	0.000000	0	0	0
79	20	1	1	0.000000	27.700000	18.800000	0.000000	0.000000	0	0	0
80	6	1	1	0.000000	20.833333	16.000000	0.000000	0.000000	0	0	0
81	5	2	2	0.000000	22.800000	20.400000	0.000000	0.000000	0	0	0
82	32	1	1	0.000000	15.656250	13.156250	0.000000	0.000000	0	0	0
83	1	1	2	0.000000	19.000000	15.000000	0.000000	0.000000	0	0	0
84	34	2	1	0.000000	23.970588	12.117647	0.000000	0.000000	0	0	0
85	9	1	1	0.000000	18.666667	12.777778	0.000000	0.000000	0	0	0
86	65	1	1	0.000000	1.184615	1.184615	0.000000	0.000000	0	0	0
87	1	1	1	0.000000	13.000000	12.000000	0.000000	0.000000	0	0	0
88	28	1	2	0.000000	14.964286	10.178571	0.000000	0.000000	0	0	0
89	61	2	2	0.000000	21.311475	9.114754	0.000000	0.000000	0	0	0
90	54	1	1	0.000000	1.037037	1.037037	0.000000	0.000000	0	0	0
91	26	1	2	0.000000	22.000000	18.384615	0.000000	0.000000	0	0	0
92	2	2	2	0.000000	27.000000	20.500000	0.000000	0.000000	0	0	0
93	46	2	2	0.000000	21.500000	13.152174	0.000000	0.000000	0	0	0
94	18	1	1	0.000000	22.666667	16.166667	0.000000	0.000000	0	0	0
95	3	1	2	0.000000	15.000000	9.000000	0.000000	0.000000	0	0	0
96	40	2	2	0.000000	15.475000	12.750000	0.000000	0.000000	0	0	0
97	25	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
98	6	1	2	0.000000	18.333333	9.500000	0.000000	0.000000	0	0	0
99	26	1	2	0.000000	22.038462	12.038462	0.000000	0.000000	0	0	0
100	9	2	2	0.000000	21.777778	4.555556	0.000000	0.000000	0	0	0
101	24	1	1	0.000000	21.541667	15.166667	0.000000	0.000000	0	0	0
102	32	1	2	0.000000	20.718750	16.406250	0.000000	0.000000	0	0	0
103	201	2	2	0.000000	19.577114	10.383085	0.000000	0.000000	0	0	0
104	6	1	1	0.000000	25.166667	11.166667	0.000000	0.000000	0	0	0
105	2	2	2	0.000000	25.000000	15.000000	0.000000	0.000000	0	0	0
106	9	1	1	0.000000	24.666667	15.333333	0.000000	0.000000	0	0	0
107	50	1	1	0.000000	17.020000	9.980000	0.000000	0.000000	0	0	0
108	43	1	1	0.000000	18.372093	12.744186	0.000000	0.000000	0	0	0
109	12	1	2	0.000000	19.833333	7.666667	0.000000	0.000000	0	0	0
110	14	1	2	0.000000	17.857143	10.214286	0.000000	0.000000	0	0	0
111	38	1	1	0.000000	21.368421	13.342105	0.000000	0.000000	0	0	0
112	66	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
113	8	2	2	0.000000	14.375000	9.750000	0.000000	0.000000	0	0	0
114	42	1	2	0.000000	15.833333	5.547619	0.000000	0.000000	0	0	0
115	11	1	2	0.000000	17.545455	14.454545	0.000000	0.000000	0	0	0
116	11	1	2	0.000000	15.727273	11.909091	0.000000	0.000000	0	0	0
117	2	1	2	0.000000	13.500000	9.500000	0.000000	0.000000	0	0	0
118	17	1	2	0.000000	15.764706	11.470588	0.000000	0.000000	0	0	0
119	27	2	2	0.000000	19.481481	15.259259	0.000000	0.000000	0	0	0
120	51	2	2	0.000000	20.254902	2.274510	0.000000	0.000000	0	0	0
121	1	1	1	0.000000	21.000000	14.000000	0.000000	0.000000	0	0	0
122	25	1	2	0.000000	14.680000	10.840000	0.000000	0.000000	0	0	0
123	5	2	1	0.000000	17.000000	9.800000	0.000000	0.000000	0	0	0
124	12	1	2	0.000000	19.333333	15.666667	0.000000	0.000000	0	0	0
125	4	2	2	0.000000	18.000000	14.750000	0.000000	0.000000	0	0	0
126	50	1	1	0.000000	12.980000	9.740000	0.000000	0.000000	0	0	0
127	18	1	2	0.000000	17.944444	11.222222	0.000000	0.000000	0	0	0
128	89	1	2	0.000000	14.943820	10.449438	0.000000	0.000000	0	0	0
129	78	1	0	0.000000	1.012821	1.012821	0.000000	0.000000	0	0	0
130	5	2	2	0.000000	22.000000	15.200000	0.000000	0.000000	0	0	0
131	3	1	1	0.000000	19.666667	14.666667	0.000000	0.000000	0	0	0
132	25	1	2	0.000000	18.200000	15.600000	0.000000	0.000000	0	0	0
133	44	2	2	0.000000	21.931818	8.909091	0.000000	0.000000	0	0	0
134	8	1	1	0.000000	19.500000	17.250000	0.000000	0.000000	0	0	0
135	2	1	2	0.000000	20.000000	17.000000	0.000000	0.000000	0	0	0
136	28	2	2	0.000000	23.000000	14.642857	0.000000	0.000000	0	0	0
137	2	1	2	0.000000	14.000000	10.500000	0.000000	0.000000	0	0	0
138	65	1	0	0.000000	1.076923	1.076923	0.000000	0.000000	0	0	0
139	10	1	2	0.000000	24.700000	9.300000	0.000000	0.000000	0	0	0
140	90	1	2	0.000000	17.722222	9.855556	0.000000	0.000000	0	0	0
141	10	1	2	0.000000	19.000000	10.600000	0.000000	0.000000	0	0	0
142	25	1	2	0.000000	13.840000	8.680000	0.000000	0.000000	0	0	0
143	66	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
144	67	2	2	0.000000	20.597015	13.104478	0.000000	0.000000	0	0	0
145	9	1	2	0.000000	13.222222	9.111111	0.000000	0.000000	0	0	0
146	13	1	2	0.000000	14.461538	9.461538	0.000000	0.000000	0	0	0
147	3	1	2	0.000000	13.000000	8.666667	0.000000	0.000000	0	0	0
148	7	1	2	0.000000	13.285714	10.428571	0.000000	0.000000	0	0	0
149	10	1	2	0.000000	11.800000	8.200000	0.000000	0.000000	0	0	0
150	73	2	2	0.000000	15.150685	5.890411	0.000000	0.000000	0	0	0
151	6	1	2	0.000000	15.333333	11.166667	0.000000	0.000000	0	0	0
152	23	1	2	0.000000	19.956522	15.043478	0.000000	0.000000	0	0	0
153	14	1	1	0.000000	27.142857	15.000000	0.000000	0.000000	0	0	0
154	3	1	1	0.000000	21.333333	12.000000	0.000000	0.000000	0	0	0
155	6	1	1	0.000000	18.666667	2.833333	0.000000	0.000000	0	0	0
156	6	1	1	0.000000	23.333333	13.000000	0.000000	0.000000	0	0	0
157	73	2	2	0.000000	18.917808	13.287671	0.000000	0.000000	0	0	0
158	3	1	2	0.000000	22.000000	14.333333	0.000000	0.000000	0	0	0
159	60	1	2	0.000000	24.150000	15.450000	0.000000	0.000000	0	0	0
160	22	1	2	0.000000	21.090909	13.136364	0.000000	0.000000	0	0	0
161	10	1	2	0.000000	20.300000	14.200000	0.000000	0.000000	0	0	0
162	12	1	1	0.000000	15.583333	10.083333	0.000000	0.000000	0	0	0
163	20	1	2	0.000000	16.600000	11.900000	0.000000	0.000000	0	0	0
164	10	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
165	38	2	1	0.000000	22.842105	13.052632	0.000000	0.000000	0	0	0
166	24	1	1	0.000000	17.375000	9.291667	0.000000	0.000000	0	0	0
167	7	1	2	0.000000	20.714286	12.285714	0.000000	0.000000	0	0	0
168	4	1	1	0.000000	17.750000	10.250000	0.000000	0.000000	0	0	0
169	18	2	2	0.000000	16.055556	13.222222	0.000000	0.000000	0	0	0
170	17	1	1	0.000000	14.352941	12.294118	0.000000	0.000000	0	0	0
171	29	1	2	0.000000	20.448276	14.896552	0.000000	0.000000	0	0	0
172	30	2	2	0.000000	18.766667	9.800000	0.000000	0.000000	0	0	0
173	15	1	2	0.000000	24.000000	3.133333	0.000000	0.000000	0	0	0
174	16	2	2	0.000000	21.687500	14.125000	0.000000	0.000000	0	0	0
175	7	1	2	0.000000	24.571429	14.857143	0.000000	0.000000	0	0	0
176	49	1	2	0.000000	24.306122	13.020408	0.000000	0.000000	0	0	0
177	64	1	1	0.000000	1.031250	1.031250	0.000000	0.000000	0	0	0
178	21	1	3	0.000000	17.904762	10.571429	0.000000	0.000000	0	0	0
179	66	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
180	34	2	2	0.000000	15.441176	12.558824	0.000000	0.000000	0	0	0
181	8	1	1	0.000000	21.125000	13.250000	0.000000	0.000000	0	0	0
182	14	1	1	0.000000	26.714286	20.500000	0.000000	0.000000	0	0	0
183	58	1	1	0.000000	20.051724	14.258621	0.000000	0.000000	0	0	0
184	25	1	2	0.000000	21.720000	14.560000	0.000000	0.000000	0	0	0
185	16	2	1	0.000000	18.125000	10.250000	0.000000	0.000000	0	0	0
186	58	2	2	0.000000	21.327586	12.448276	0.000000	0.000000	0	0	0
187	11	1	2	0.000000	12.727273	9.090909	0.000000	0.000000	0	0	0
188	85	1	2	0.000000	20.741176	10.588235	0.000000	0.000000	0	0	0
189	3	1	2	0.000000	22.333333	16.666667	0.000000	0.000000	0	0	0
190	6	2	2	0.000000	23.833333	1.333333	0.000000	0.000000	0	0	0
191	6	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
192	27	1	2	0.000000	22.592593	11.925926	0.000000	0.000000	0	0	0
193	10	3	1	0.000000	20.600000	11.000000	0.000000	0.000000	0	0	0
194	2	1	1	0.000000	17.000000	10.000000	0.000000	0.000000	0	0	0
195	1	1	1	0.000000	17.000000	12.000000	0.000000	0.000000	0	0	0
196	2	1	2	0.000000	15.500000	10.500000	0.000000	0.000000	0	0	0
197	3	2	2	0.000000	15.333333	10.333333	0.000000	0.000000	0	0	0
198	11	2	1	0.000000	20.000000	3.272727	0.000000	0.000000	0	0	0
199	7	2	2	0.000000	18.714286	14.000000	0.000000	0.000000	0	0	0
200	10	1	1	0.000000	14.800000	10.000000	0.000000	0.000000	0	0	0
201	8	1	1	0.000000	18.625000	12.375000	0.000000	0.000000	0	0	0
202	14	2	2	0.000000	18.857143	12.142857	0.000000	0.000000	0	0	0
203	48	1	2	0.000000	23.062500	6.916667	0.000000	0.000000	0	0	0
204	62	2	2	0.000000	18.822581	13.435484	0.000000	0.000000	0	0	0
205	86	2	1	0.000000	22.290698	13.732558	0.000000	0.000000	0	0	0
206	62	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
207	52	1	2	0.000000	18.000000	12.769231	0.000000	0.000000	0	0	0
208	87	1	2	0.000000	21.517241	15.183908	0.000000	0.000000	0	0	0
209	6	2	2	0.000000	21.000000	13.666667	0.000000	0.000000	0	0	0
210	51	2	2	0.000000	20.509804	9.078431	0.000000	0.000000	0	0	0
211	27	1	1	0.000000	18.925926	13.925926	0.000000	0.000000	0	0	0
212	14	2	1	0.000000	10.000000	6.071429	0.000000	0.000000	0	0	0
